"Item","Quantity"
"Stock V2/VT side panel","1"
"V2/VT vertical extrusion","1"
"V2/VT vertical, cut and tapped","1"
"VT vertical, cut, drilled, and tapped","2"
"Printed_2020_end_cap.stl","4"
"Printed_door_handle.stl","1"
"Printed_hinge.stl","2"
"F695 flanged bearing","4"
"Foam Tape, 3 mm","2"
"M5 2020 drop-in T-nut","8"
"M5x10 BHCS","2"
"M5x16 BHCS","4"
"M5x25 BHCS","4"
"M5x40 BHCS","2"
"M5xD8x25 spacer","2"
"Shim 1 mm","4"
